0x8000;AppKey Delete;0x80 0x00;Mesh
0x8001;AppKey Get;0x80 0x01;Mesh
0x8002;AppKey List;0x80 0x02;Mesh
0x8003;AppKey Status;0x80 0x03;Mesh
0x8004;Attention Get;0x80 0x04;Mesh
0x8005;Attention Set;0x80 0x05;Mesh
0x8006;Attention Set Unreliable;0x80 0x06;Mesh
0x8007;Attention Status;0x80 0x07;Mesh
0x8008;Composition Data Get;0x80 0x08;Mesh
0x8009;Config Beacon Get;0x80 0x09;Mesh
0x800A;Config Beacon Set;0x80 0x0A;Mesh
0x800B;Config Beacon Status;0x80 0x0B;Mesh
0x800C;Config Default TTL Get;0x80 0x0C;Mesh
0x800D;Config Default TTL Set;0x80 0x0D;Mesh
0x800E;Config Default TTL Status;0x80 0x0E;Mesh
0x800F;Config Friend Get;0x80 0x0F;Mesh
0x8010;Config Friend Set;0x80 0x10;Mesh
0x8011;Config Friend Status;0x80 0x11;Mesh
0x8012;Config GATT Proxy Get;0x80 0x12;Mesh
0x8013;Config GATT Proxy Set;0x80 0x13;Mesh
0x8014;Config GATT Proxy Status;0x80 0x14;Mesh
0x8015;Config Key Refresh Phase Get;0x80 0x15;Mesh
0x8016;Config Key Refresh Phase Set;0x80 0x16;Mesh
0x8017;Config Key Refresh Phase Status;0x80 0x17;Mesh
0x8018;Config Model Publication Get;0x80 0x18;Mesh
0x8019;Config Model Publication Status;0x80 0x19;Mesh
0x801A;Config Model Publication Virtual Address Set;0x80 0x1A;Mesh
0x801B;Config Model Subscription Add;0x80 0x1B;Mesh
0x801C;Config Model Subscription Delete;0x80 0x1C;Mesh
0x801D;Config Model Subscription Delete All;0x80 0x1D;Mesh
0x801E;Config Model Subscription Overwrite;0x80 0x1E;Mesh
0x801F;Config Model Subscription Status;0x80 0x1F;Mesh
0x8020;Config Model Subscription Virtual Address Add;0x80 0x20;Mesh
0x8021;Config Model Subscription Virtual Address Delete;0x80 0x21;Mesh
0x8022;Config Model Subscription Virtual Address Overwrite;0x80 0x22;Mesh
0x8023;Config Network Transmit Get;0x80 0x23;Mesh
0x8024;Config Network Transmit Set;0x80 0x24;Mesh
0x8025;Config Network Transmit Status;0x80 0x25;Mesh
0x8026;Config Relay Get;0x80 0x26;Mesh
0x8027;Config Relay Set;0x80 0x27;Mesh
0x8028;Config Relay Status;0x80 0x28;Mesh
0x8029;Config SIG Model Subscription Get;0x80 0x29;Mesh
0x802A;Config SIG Model Subscription List;0x80 0x2A;Mesh
0x802B;Config Vendor Model Subscription Get;0x80 0x2B;Mesh
0x802C;Config Vendor Model Subscription List;0x80 0x2C;Mesh
0x802D;Friend Timeout Get;0x80 0x2D;Mesh
0x802E;Friend Timeout Status;0x80 0x2E;Mesh
0x802F;Health Fault Clear;0x80 0x2F;Mesh
0x8030;Health Fault Clear Unreliable;0x80 0x30;Mesh
0x8031;Health Fault Get;0x80 0x31;Mesh
0x8032;Health Fault Test;0x80 0x32;Mesh
0x8033;Health Fault Test Unreliable;0x80 0x33;Mesh
0x8034;Health Period Get;0x80 0x34;Mesh
0x8035;Health Period Set;0x80 0x35;Mesh
0x8036;Health Period Set Unreliable;0x80 0x36;Mesh
0x8037;Health Period Status;0x80 0x37;Mesh
0x8038;Heartbeat Publication Get;0x80 0x38;Mesh
0x8039;Heartbeat Publication Set;0x80 0x39;Mesh
0x803A;Heartbeat Subscription Get;0x80 0x3A;Mesh
0x803B;Heartbeat Subscription Set;0x80 0x3B;Mesh
0x803C;Heartbeat Subscription Status;0x80 0x3C;Mesh
0x803D;Model App Bind;0x80 0x3D;Mesh
0x803E;Model App Status;0x80 0x3E;Mesh
0x803F;Model App Unbind;0x80 0x3F;Mesh
0x8040;NetKey Add;0x80 0x40;Mesh
0x8041;NetKey Delete;0x80 0x41;Mesh
0x8042;NetKey Get;0x80 0x42;Mesh
0x8043;NetKey List;0x80 0x43;Mesh
0x8044;NetKey Status;0x80 0x44;Mesh
0x8045;NetKey Update;0x80 0x45;Mesh
0x8046;Node Identity Get;0x80 0x46;Mesh
0x8047;Node Identity Set;0x80 0x47;Mesh
0x8048;Node Identity Status;0x80 0x48;Mesh
0x8049;Node Reset;0x80 0x49;Mesh
0x804A;Node Reset Status;0x80 0x4A;Mesh
0x804B;SIG Model App Get;0x80 0x4B;Mesh
0x804C;SIG Model App List;0x80 0x4C;Mesh
0x804D;Vendor Model App Get;0x80 0x4D;Mesh
0x804E;Vendor Model App List;0x80 0x4E;Mesh
0x00;AppKey Add;Mesh
0x01;AppKey Update;Mesh
0x02;Composition Data Status;Mesh
0x03;Config Model Publication Set;Mesh
0x04;Health Current Status;Mesh
0x05;Health Fault Status;Mesh
0x06;Heartbeat Publication Status;Mesh
